state,tax_rate,start,end,standard_deduction
Alabama,0.02,0,500,2500
Alabama,0.04,500,3000,2500
Alabama,0.05,3000,1000000000000000,2500
,,,,
Alaska,0.00,0,0,0
,,,,
Arizona,0.0259,0,27808,12950
Arizona,0.0334,27808,55615,12950
Arizona,0.0417,55615,166843,12950
Arizona,0.05,166843,1000000000000000,12950
,,,,
Arkansas,0.02,0,4300,2200
Arkansas,0.04,4300,8500,2200
Arkansas,0.06,8500,1000000000000000,2200
,,,,
California,0.01,0,9325,4803
California,0.02,9325,22107,4803
California,0.04,22107,34892,4803
California,0.06,34892,48435,4803
California,0.08,48435,61214,4803
California,0.09,61214,312686,4803
California,0.10,312686,375221,4803
California,0.11,375221,625369,4803
California,0.12,625369,1000000,4803
California,0.13,1000000,1000000000000000,4803
,,,,
Colorado,0.0455,0,1000000000000000,12950
,,,,
Connecticut,0.03,0,10000,0
Connecticut,0.05,10000,50000,0
Connecticut,0.06,50000,100000,0
Connecticut,0.06,100000,200000,0
Connecticut,0.07,200000,250000,0
Connecticut,0.07,250000,500000,0
Connecticut,0.0699,500000,1000000000000000,0
,,,,
Delaware,0.02,2000,5000,3250
Delaware,0.04,5000,10000,3250
Delaware,0.05,10000,20000,3250
Delaware,0.05,20000,25000,3250
Delaware,0.0555,25000,60000,3250
Delaware,0.07,60000,1000000000000000,3250
,,,,
Florida,0.00,0,0,0
,,,,
Georgia,0.01,0,750,5400
Georgia,0.02,750,2250,5400
Georgia,0.03,2250,3750,5400
Georgia,0.04,3750,5250,5400
Georgia,0.05,5250,7000,5400
Georgia,0.0575,7000,1000000000000000,5400
,,,,
Hawaii,0.01,0,2400,2200
Hawaii,0.03,2400,4800,2200
Hawaii,0.06,4800,9600,2200
Hawaii,0.06,9600,14400,2200
Hawaii,0.07,14400,19200,2200
Hawaii,0.07,19200,24000,2200
Hawaii,0.08,24000,36000,2200
Hawaii,0.08,36000,48000,2200
Hawaii,0.0825,48000,150000,2200
Hawaii,0.09,150000,175000,2200
Hawaii,0.10,175000,200000,2200
Hawaii,0.11,200000,1000000000000000,2200
,,,,
Idaho,0.010,0,1588,12950
Idaho,0.030,1588,4763,12950
Idaho,0.045,4763,7939,12950
Idaho,0.060,7939,1000000000000000,12950
,,,,
Illinois,0.0495,0,1000000000000000,0
,,,,
Indiana,0.0323,0,1000000000000000,0
,,,,
,,,,
Iowa,0.0033,0,1743,2210
Iowa,0.0067,1743,3486,2210
Iowa,0.0225,3486,6972,2210
Iowa,0.0414,6972,15687,2210
Iowa,0.0563,15687,26145,2210
Iowa,0.0596,26145,34860,2210
Iowa,0.0625,34860,52290,2210
Iowa,0.0744,52290,78435,2210
Iowa,0.0853,78435,1000000000000000,2210
,,,,
Kansas,0.03,0,15000,3500
Kansas,0.0525,15000,30000,3500
Kansas,0.06,30000,1000000000000000,3500
,,,,
Kentucky,0.05,0,1000000000000000,2770
,,,,
,,,,
Louisiana,0.0185,0,12500,0
Louisiana,0.04,12500,50000,0
Louisiana,0.0425,50000,1000000000000000,0
,,,,
Maine,0.06,0,23000,12950
Maine,0.0675,23000,54450,12950
Maine,0.0715,54450,1000000000000000,12950
,,,,
Maryland,0.02,0,1000,2350
Maryland,0.03,1000,2000,2350
Maryland,0.04,2000,3000,2350
Maryland,0.0475,3000,100000,2350
Maryland,0.05,100000,125000,2350
